icao,iata,name,city,country,lat,lon
KABE,ABE,Lehigh Valley International Airport,Allentown/Bethlehem,US,40.651773,-75.442797
KABI,ABI,Abilene Regional Airport,Abilene,US,32.4113006592,-99.68190002440001
PAFM,ABL,Ambler Airport,Ambler,US,67.105529,-157.855339
KABQ,ABQ,Albuquerque International Sunport,Albuquerque,US,35.039976,-106.608925
KABR,ABR,Aberdeen Regional Airport,Aberdeen,US,45.449100494384766,-98.42179870605469
KABY,ABY,Southwest Georgia Regional Airport,Albany,US,31.532946,-84.196215
KACK,ACK,Nantucket Memorial Airport,Nantucket,US,41.25310135,-70.06020355
KACT,ACT,Waco Regional Airport,Waco,US,31.611299514770508,-97.23049926757812
KACV,ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,40.978101,-124.109
KACY,ACY,Atlantic City International Airport,Atlantic City,US,39.456201,-74.577511
PADK,ADK,Adak Airport,Adak,US,51.883564,-176.642783
PADQ,ADQ,Kodiak Airport,Kodiak,US,57.75,-152.4940033
PFAL,AET,Allakaket Airport,Allakaket,US,66.551804,-152.621994
KAEX,AEX,Alexandria International Airport,Alexandria,US,31.325828,-92.546702
PAGN,AGN,Angoon Seaplane Base,Angoon,US,57.497097,-134.56722
KAGS,AGS,Augusta Regional At Bush Field,Augusta,US,33.3699,-81.9645
KAIA,AIA,Alliance Municipal Airport,Alliance,US,42.052543,-102.803965
PAWI,AIN,Wainwright Airport,Wainwright,US,70.638,-159.994995
PAAK,AKB,Atka Airport,Atka,US,52.220299,-174.205994
PFAK,AKI,Akiak Airport,Akiak,US,60.902646,-161.23106
PAKH,AKK,Akhiok Airport,Akhiok,US,56.938702,-154.182999
PAKN,AKN,King Salmon Airport,King Salmon,US,58.677845,-156.651965
PAKP,AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,US,68.133598,-151.742996
KALB,ALB,Albany International Airport,Albany,US,42.748299,-73.801697
KALO,ALO,Waterloo Regional Airport,Waterloo,US,42.557098388671875,-92.40029907226562
KALS,ALS,San Luis Valley Regional Airport/Bergman Field,Alamosa,US,37.434898,-105.866997
KALW,ALW,Walla Walla Regional Airport,Walla Walla,US,46.09489822,-118.288002
KAMA,AMA,Rick Husband Amarillo International Airport,Amarillo,US,35.217857,-101.706444
PANC,ANC,Ted Stevens Anchorage International Airport,Anchorage,US,61.179004,-149.992561
PANI,ANI,Aniak Airport,Aniak,US,61.581600189208984,-159.54299926757812
PANV,ANV,Anvik Airport,Anvik,US,62.646702,-160.190994
KAOO,AOO,Altoona Blair County Airport,Altoona,US,40.296398,-78.32
KAPN,APN,Alpena County Regional Airport,Alpena,US,45.0780983,-83.56030273
PARC,ARC,Arctic Village Airport,Arctic Village,US,68.1147,-145.578995
KART,ART,Watertown International Airport,Watertown,US,43.991901,-76.021698
KASE,ASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,US,39.223202,-106.869003
PATQ,ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,US,70.46704,-157.436013
KATL,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,US,33.6367,-84.428101
KATW,ATW,Appleton International Airport,Appleton,US,44.258515,-88.519
KATY,ATY,Watertown Regional Airport,Watertown,US,44.91400146,-97.15470123
KAUG,AUG,Augusta State Airport,Augusta,US,44.320598602299995,-69.7973022461
PAUK,AUK,Alakanuk Airport,Alakanuk,US,62.682653,-164.722481
KAUS,AUS,Austin Bergstrom International Airport,Austin,US,30.197535,-97.662015
KAVL,AVL,Asheville Regional Airport,Asheville,US,35.435488,-82.541853
KAVP,AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,US,41.337064,-75.724232
KIWA,AZA,Mesa Gateway Airport,Mesa,US,33.3078,-111.654999
KAZO,AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,US,42.232105,-85.549637
KBDL,BDL,Bradley International Airport,Hartford,US,41.938555,-72.688016
KBED,BED,Laurence G Hanscom Field,Bedford,US,42.470001,-71.289001
PABE,BET,Bethel Airport,Bethel,US,60.77980042,-161.8379974
KBFD,BFD,Bradford Regional Airport,Bradford,US,41.8031005859375,-78.64009857177734
KBFF,BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,US,41.87400055,-103.5960007
KBFI,BFI,King County International Airport - Boeing Field,Seattle,US,47.527042,-122.29995
KBFL,BFL,Meadows Field,Bakersfield,US,35.433601,-119.056999
KBGM,BGM,Greater Binghamton/Edwin A Link field,Binghamton,US,42.20869827,-75.97979736
KBGR,BGR,Bangor International Airport,Bangor,US,44.806364,-68.826668
KBHB,BHB,Hancock County-Bar Harbor Airport,Bar Harbor,US,44.45000076,-68.3615036
KBHM,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,US,33.562877,-86.750712
KBID,BID,Block Island State Airport,Block Island,US,41.168446,-71.578631
KBIH,BIH,Eastern Sierra Regional Airport,Bishop,US,37.3731,-118.363998
KBIL,BIL,Billings Logan International Airport,Billings,US,45.808932,-108.541242
KBIS,BIS,Bismarck Municipal Airport,Bismarck,US,46.772734,-100.746874
KBJC,BJC,Rocky Mountain Metropolitan Airport,Denver,US,39.908798,-105.116997
PABL,BKC,Buckland Airport,Buckland,US,65.981598,-161.149002
KBBG,BKG,Branson Airport,Branson,US,36.532082,-93.200544
KBKW,BKW,Raleigh County Memorial Airport,Beaver,US,37.7873,-81.124199
KBVU,BLD,Boulder City Municipal Airport,Boulder City,US,35.947161,-114.858799
KBLI,BLI,Bellingham International Airport,Bellingham,US,48.79280090332031,-122.53800201416016
KBLV,BLV,Scott AFB/Midamerica Airport,Belleville,US,38.5452,-89.835197
KBMI,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,US,40.4771,-88.915901
KBNA,BNA,Nashville International Airport,Nashville,US,36.1245,-86.6782
KBOI,BOI,Boise Air Terminal/Gowen Field,Boise,US,43.5644,-116.223
KBOS,BOS,Boston Logan International Airport,Boston,US,42.36197,-71.0079
KBPT,BPT,Jack Brooks Regional Airport,Beaumont/Port Arthur,US,29.9508,-94.020699
KBQK,BQK,Brunswick Golden Isles Airport,Brunswick,US,31.258801,-81.466499
KBRD,BRD,Brainerd Lakes Regional Airport,Brainerd,US,46.402861,-94.129727
KBRL,BRL,Southeast Iowa Regional Airport,Burlington,US,40.783199310302734,-91.12550354003906
KBRO,BRO,Brownsville South Padre Island International Airport,Brownsville,US,25.907238,-97.425235
PABR,BRW,Wiley Post Will Rogers Memorial Airport,Utqiaġvik,US,71.285402,-156.766008
PABA,BTI,Barter Island Long Range Radar Station Airport,Barter Island,US,70.134003,-143.582001
KBTM,BTM,Bert Mooney Airport,Butte,US,45.95479965209961,-112.49700164794922
KBTR,BTR,Baton Rouge Metropolitan Airport,Baton Rouge,US,30.533199,-91.149597
PABT,BTT,Bettles Airport,Bettles,US,66.913902,-151.529007
KBTV,BTV,Patrick Leahy Burlington International Airport,Burlington,US,44.471901,-73.153297
KBUF,BUF,Buffalo Niagara International Airport,Buffalo,US,42.940498,-78.732201
KBUR,BUR,Hollywood Burbank/Bob Hope Airport,Burbank,US,34.202834,-118.35805
KBWI,BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,US,39.1754,-76.668297
KBZN,BZN,Bozeman Yellowstone International Airport,Bozeman,US,45.778853,-111.153711
KCAE,CAE,Columbia Metropolitan Airport,Columbia,US,33.938172,-81.123022
KCAK,CAK,Akron Canton Regional Airport,Akron,US,40.916099548339844,-81.44219970703125
KCCR,CCR,Buchanan Field,Concord,US,37.9897,-122.056999
PACD,CDB,Cold Bay Airport,Cold Bay,US,55.207871,-162.725029
KCDC,CDC,Cedar City Regional Airport,Cedar City,US,37.70100021362305,-113.0989990234375
KCDR,CDR,Chadron Municipal Airport,Chadron,US,42.837601,-103.095001
PACV,CDV,Merle K (Mudhole) Smith Airport,Cordova,US,60.491798,-145.477997
KCEC,CEC,Jack Mc Namara Field Airport,Crescent City,US,41.778929,-124.236403
PACE,CEM,Central Airport,Central,US,65.573815,-144.780707
KCEZ,CEZ,Cortez Municipal Airport,Cortez,US,37.303001,-108.627998
KCGI,CGI,Cape Girardeau Regional Airport,Cape Girardeau,US,37.2253,-89.570801
KCHA,CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,US,35.035301,-85.203796
KCHO,CHO,Charlottesville Albemarle Airport,Charlottesville,US,38.13859939575195,-78.4529037475586
KCHS,CHS,Charleston International Airport,Charleston,US,32.896159,-80.038151
PACH,CHU,Chuathbaluk Airport,Chuathbaluk,US,61.579102,-159.216003
KCID,CID,The Eastern Iowa Airport,Cedar Rapids,US,41.884701,-91.7108
PACI,CIK,Chalkyitsik Airport,Chalkyitsik,US,66.644997,-143.740005
KCIU,CIU,Chippewa County International Airport,Kincheloe,US,46.242038,-84.462082
KCKB,CKB,North Central West Virginia Airport,Bridgeport,US,39.2966,-80.228104
PACJ,CKD,Crooked Creek Airport,Crooked Creek,US,61.870315,-158.137636
KCRQ,CLD,McClellan-Palomar Airport,Carlsbad,US,33.1283,-117.279999
KCLE,CLE,Cleveland Hopkins International Airport,Cleveland,US,41.411701,-81.8498
KCLL,CLL,Easterwood Field,College Station,US,30.5886,-96.3638
PFCL,CLP,Clarks Point Airport,Clarks Point,US,58.833698,-158.529007
KCLT,CLT,Charlotte Douglas International Airport,Charlotte,US,35.2140007019043,-80.94309997558594
KCMH,CMH,John Glenn Columbus International Airport,Columbus,US,39.998001,-82.891899
KCMI,CMI,University of Illinois Willard Airport,Savoy,US,40.039819,-88.276249
KCMX,CMX,Houghton County Memorial Airport,Hancock,US,47.168399810791016,-88.48909759521484
KCNM,CNM,Cavern City Air Terminal,Carlsbad,US,32.337501525878906,-104.26300048828125
KCNY,CNY,Canyonlands Regional Airport,Moab,US,38.755001,-109.754997
KCOD,COD,Yellowstone Regional Airport,Cody,US,44.520199,-109.024002
KCOS,COS,City of Colorado Springs Municipal Airport,Colorado Springs,US,38.805801,-104.700996
KCOU,COU,Columbia Regional Airport,Columbia,US,38.8181,-92.219597
KCPR,CPR,Casper-Natrona County International Airport,Casper,US,42.907381,-106.461609
KCRP,CRP,Corpus Christi International Airport,Corpus Christi,US,27.770399,-97.501198
KCRW,CRW,Yeager Airport,Charleston,US,38.3731,-81.593201
KCSG,CSG,Columbus Airport,Columbus,US,32.516415,-84.939602
KCVG,CVG,Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,US,39.048801,-84.667801
KCVN,CVN,Clovis Municipal Airport,Clovis,US,34.426594,-103.078794
KCWA,CWA,Central Wisconsin Airport,Mosinee,US,44.777448,-89.670238
PACK,CYF,Chefornak Airport,Chefornak,US,60.136667,-164.279167
KCYS,CYS,Cheyenne Regional Jerry Olson Field,Cheyenne,US,41.155701,-104.811997
PACY,CYT,Yakataga Airport,Yakataga,US,60.080974,-142.494541
KDAB,DAB,Daytona Beach International Airport,Daytona Beach,US,29.18255,-81.059464
KDAL,DAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
KDAY,DAY,James M. Cox Dayton International Airport,Dayton,US,39.902401,-84.219398
KDBQ,DBQ,Dubuque Regional Airport,Dubuque,US,42.402,-90.709503
KDCA,DCA,Ronald Reagan Washington National Airport,Washington,US,38.8521,-77.037697
KDDC,DDC,Dodge City Regional Airport,Dodge City,US,37.76340103149414,-99.9655990600586
KDEC,DEC,Decatur Airport,Decatur,US,39.834598541259766,-88.8656997680664
KDEN,DEN,Denver International Airport,Denver,US,39.860027,-104.673792
KDFW,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,US,32.896801,-97.038002
KDHN,DHN,Dothan Regional Airport,Dothan,US,31.321300506591797,-85.44960021972656
KDIK,DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,US,46.797533,-102.801905
KDJT,DJT,President Donald J. Trump International Airport,West Palm Beach,US,26.683201,-80.095596
PADL,DLG,Dillingham Airport,Dillingham,US,59.04470062,-158.5050049
KDLH,DLH,Duluth International Airport,Duluth,US,46.841873,-92.198746
KDOV,DOV,Dover Civil Air Terminal/Dover Air Force Base,Dover,US,39.129501,-75.466003
PADE,DRG,Deering Airport,Deering,US,66.068901,-162.766914
KDRO,DRO,Durango La Plata County Airport,Durango,US,37.151501,-107.753998
KDTS,DSI,Destin Executive Airport,Destin,US,30.400101,-86.471497
KDSM,DSM,Des Moines International Airport,Des Moines,US,41.534027,-93.656719
KDTW,DTW,Detroit Metropolitan Wayne County Airport,Detroit,US,42.21377,-83.353786
KDUJ,DUJ,DuBois Regional Airport,Dubois,US,41.17829895,-78.8986969
PADU,DUT,Tom Madsen (Dutch Harbor) Airport,Unalaska,US,53.89881,-166.544996
KDVL,DVL,Devils Lake Regional Airport,Devils Lake,US,48.115454,-98.908796
PAEG,EAA,Eagle Airport,Eagle,US,64.778003,-141.150455
KEAR,EAR,Kearney Regional Airport,Kearney,US,40.727001,-99.006798
KEAT,EAT,Pangborn Memorial Airport,Wenatchee,US,47.398899,-120.207001
KEAU,EAU,Chippewa Valley Regional Airport,Eau Claire,US,44.86579895019531,-91.48429870605469
KECP,ECP,Northwest Florida Beaches International Airport,Panama City Beach,US,30.357106,-85.795414
PAEE,EEK,Eek Airport,Eek,US,60.213173,-162.044048
KEGE,EGE,Eagle County Regional Airport,Eagle,US,39.64260101,-106.9179993
PAII,EGX,Egegik Airport,Egegik,US,58.184386,-157.374873
KEKO,EKO,Elko Regional Airport,Elko,US,40.82490158081055,-115.79199981689453
KELD,ELD,South Arkansas Regional Airport at Goodwin Field,El Dorado,US,33.221001,-92.813301
PFEL,ELI,Elim Airport,Elim,US,64.6147,-162.272003
KELM,ELM,Elmira Corning Regional Airport,Elmira/Corning,US,42.1599006652832,-76.8916015625
KELP,ELP,El Paso International Airport,El Paso,US,31.809908,-106.375607
PAEL,ELV,Elfin Cove Seaplane Base,Elfin Cove,US,58.195201873799995,-136.347000122
PAEM,EMK,Emmonak Airport,Emmonak,US,62.78609848,-164.4909973
PAEN,ENA,Kenai Municipal Airport,Kenai,US,60.570946,-151.245174
KERI,ERI,Erie International Tom Ridge Field,Erie,US,42.083127,-80.173867
KESC,ESC,Delta County Airport,Escanaba,US,45.723199,-87.088623
KORS,ESD,Orcas Island Airport,Eastsound,US,48.708199,-122.910004
KEUG,EUG,Eugene Airport,Eugene,US,44.124599,-123.211998
KEVV,EVV,Evansville Regional Airport,Evansville,US,38.0369987488,-87.5324020386
KEWB,EWB,New Bedford Regional Airport,New Bedford,US,41.67610168457031,-70.95690155029297
KEWN,EWN,Coastal Carolina Regional Airport,New Bern,US,35.0730018616,-77.04290008539999
KEWR,EWR,Newark Liberty International Airport,Newark,US,40.6894,-74.170545
KEYW,EYW,Key West International Airport,Key West,US,24.556119,-81.759579
PAFA,FAI,Fairbanks International Airport,Fairbanks,US,64.815102,-147.856003
KFAR,FAR,Hector International Airport,Fargo,US,46.9207,-96.815804
KFAT,FAT,Fresno Yosemite International Airport,Fresno,US,36.775767,-119.718018
KFAY,FAY,Fayetteville Regional Airport - Grannis Field,Fayetteville,US,34.991199,-78.880302
KGPI,FCA,Glacier Park International Airport,Kalispell,US,48.310501,-114.255997
KFLG,FLG,Flagstaff Pulliam Airport,Flagstaff,US,35.139757,-111.669826
KFLL,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,US,26.072599,-80.152702
KFLO,FLO,Florence Regional Airport,Florence,US,34.18539810180664,-79.7238998413086
PANR,FNR,Funter Bay Seaplane Base,Funter Bay,US,58.2543983459,-134.897994995
KFNT,FNT,Bishop International Airport,Flint,US,42.969294,-83.743355
KFOD,FOD,Fort Dodge Regional Airport,Fort Dodge,US,42.552624,-94.191237
KFHR,FRD,Friday Harbor Airport,Friday Harbor,US,48.523654,-123.024645
KFSD,FSD,Sioux Falls Regional Airport,Sioux Falls,US,43.585463,-96.741152
KFSM,FSM,Fort Smith Regional Airport,Fort Smith,US,35.336601,-94.367401
KFTW,FTW,Fort Worth Meacham International Airport,Fort Worth,US,32.819919,-97.360818
KFWA,FWA,Fort Wayne International Airport,Fort Wayne,US,40.978896,-85.194465
PFYU,FYU,Fort Yukon Airport,Fort Yukon,US,66.571651,-145.249987
PAGA,GAL,Edward G. Pitka Sr Airport,Galena,US,64.736198,-156.936997
PAGM,GAM,Gambell Airport,Gambell,US,63.767694,-171.733303
KGCC,GCC,Northeast Wyoming Regional Airport,Gillette,US,44.3489,-105.539001
KGCK,GCK,Garden City Regional Airport,Garden City,US,37.9275016785,-100.723999023
KGCN,GCN,Grand Canyon National Park Airport,Grand Canyon - Tusayan,US,35.9524,-112.147003
KGDV,GDV,Dawson Community Airport,Glendive,US,47.137658,-104.80691
KGEG,GEG,Spokane International Airport,Spokane,US,47.6199,-117.533997
KGFK,GFK,Grand Forks International Airport,Grand Forks,US,47.949299,-97.176102
KGGG,GGG,East Texas Regional Airport,Longview,US,32.38399887084961,-94.71150207519531
KGGW,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,US,48.212502,-106.614998
KGJT,GJT,Grand Junction Regional Airport,Grand Junction,US,39.126663,-108.529387
PAGK,GKN,Gulkana Airport,Gulkana,US,62.155859,-145.454662
KGLH,GLH,Mid Delta Regional Airport,Greenville,US,33.482899,-90.985603
PAGL,GLV,Golovin Airport,Golovin,US,64.550499,-163.007004
KGNV,GNV,Gainesville Regional Airport,Gainesville,US,29.6900997162,-82.2717971802
KGPT,GPT,Gulfport Biloxi International Airport,Gulfport,US,30.405582,-89.069836
KGRB,GRB,Austin Straubel International Airport,Green Bay,US,44.483459,-88.130805
KGRI,GRI,Central Nebraska Regional Airport,Grand Island,US,40.967498779296875,-98.30960083007812
KGRK,GRK,Killeen Regional Airport / Robert Gray Army Airfield,Fort Cavazos,US,31.0672,-97.828903
